# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEPDC5	DEPDC5	NM_001007188.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DEPDC5	DEPDC5	NM_001136029.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DEPDC5	DEPDC5	NM_001242896.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DEPDC5	DEPDC5	NM_001242897.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DEPDC5	DEPDC5	NM_014662.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DEPDC5	DEPDC5	NR_110988.1		0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DERL3	DERL3	NM_001002862.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DERL3	DERL3	NM_001135751.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DERL3	DERL3	NM_198440.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DGCR14	DGCR14	NM_022719.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
DGCR14	DGCR14	NR_134304.1		0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
DGCR2	DGCR2	NM_001173533.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DGCR2	DGCR2	NM_001173534.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DGCR2	DGCR2	NM_001184781.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DGCR2	DGCR2	NM_005137.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DGCR2	DGCR2	NR_033674.1		0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
DGCR6	DGCR6	NM_005675.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
DNAJB7	DNAJB7	NM_145174.1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUXAP8	DUXAP8	NR_122113.1		0	0	0	11	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
EFCAB6	EFCAB6	NM_022785.3	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
EFCAB6	EFCAB6	NM_198856.2	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
EIF3D	EIF3D	NM_003753.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EIF3L	EIF3L	NM_001242923.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF3L	EIF3L	NM_016091.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4ENIF1	EIF4ENIF1	NM_001164501.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4ENIF1	EIF4ENIF1	NM_001164502.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4ENIF1	EIF4ENIF1	NM_019843.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ELFN2	ELFN2	NM_052906.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ELFN2	ELFN2	NR_110512.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EMID1	EMID1	NM_001267895.1	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
EMID1	EMID1	NM_133455.3	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
EP300	EP300	NM_001429.3	protein_coding	13	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	13	1	0
EWSR1	EWSR1	NM_001163285.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EWSR1	EWSR1	NM_001163286.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EWSR1	EWSR1	NM_001163287.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EWSR1	EWSR1	NM_005243.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EWSR1	EWSR1	NM_013986.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FAM118A	FAM118A	NM_001104595.1	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
FAM118A	FAM118A	NM_017911.2	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
FAM227A	FAM227A	NM_001013647.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM227A	FAM227A	NM_001291030.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM83F	FAM83F	NM_138435.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
FBLN1	FBLN1	NM_001996.3	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FBLN1	FBLN1	NM_006485.3	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FBLN1	FBLN1	NM_006486.2	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FBLN1	FBLN1	NM_006487.2	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FBXO7	FBXO7	NM_001033024.1	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0
FBXO7	FBXO7	NM_001257990.1	protein_coding	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
FBXO7	FBXO7	NM_012179.3	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
FOXRED2	FOXRED2	NM_001102371.1	protein_coding	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
FOXRED2	FOXRED2	NM_024955.5	protein_coding	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
GAB4	GAB4	NM_001037814.1	protein_coding	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0
GAL3ST1	GAL3ST1	NM_001318103.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318104.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318105.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318106.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318107.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318108.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318109.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318110.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318111.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318112.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318113.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318114.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318115.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318116.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_004861.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GALR3	GALR3	NM_003614.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GAS2L1	GAS2L1	NM_001278730.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GAS2L1	GAS2L1	NM_006478.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GAS2L1	GAS2L1	NM_152236.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GATSL3	GATSL3	NM_001037666.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GCAT	GCAT	NM_001171690.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GCAT	GCAT	NM_014291.3	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GGA1	GGA1	NM_001001560.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GGA1	GGA1	NM_001172687.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GGA1	GGA1	NM_001172688.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGA1	GGA1	NM_013365.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GGT5	GGT5	NM_001099781.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT5	GGT5	NM_001099782.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT5	GGT5	NM_001302464.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT5	GGT5	NM_001302465.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT5	GGT5	NM_004121.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAZ	GNAZ	NM_002073.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GNB1L	GNB1L	NM_053004.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GRAMD4	GRAMD4	NM_015124.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
GSTTP1	GSTTP1	NR_003081.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GSTTP2	GSTTP2	NR_003082.1		0	0	0	6	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0
GTPBP1	GTPBP1	NM_004286.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GTSE1	GTSE1	NM_016426.6	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GUSBP11	GUSBP11	NR_024448.2		0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
H1F0	H1F0	NM_005318.3	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
HDAC10	HDAC10	NM_001159286.1	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HDAC10	HDAC10	NM_032019.5	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HIC2	HIC2	NM_015094.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HMGXB4	HMGXB4	NM_001003681.2	protein_coding	0	2	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
HMGXB4	HMGXB4	NR_027780.1		0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0
HORMAD2	HORMAD2	NM_001329457.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HORMAD2	HORMAD2	NM_001329458.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HORMAD2	HORMAD2	NM_152510.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HPS4	HPS4	NM_022081.5	protein_coding	0	0	4	3	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1
HPS4	HPS4	NM_152841.2	protein_coding	0	0	4	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
HPS4	HPS4	NR_073135.1		0	0	0	7	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1
HPS4	HPS4	NR_073136.1		0	0	0	6	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0
HSCB	HSCB	NM_001318314.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HSCB	HSCB	NM_001318315.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HSCB	HSCB	NM_001318316.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSCB	HSCB	NM_172002.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HSCB	HSCB	NR_134560.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IFT27	IFT27	NM_001177701.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IFT27	IFT27	NM_006860.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGLL1	IGLL1	NM_020070.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGLL1	IGLL1	NM_152855.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL17RA	IL17RA	NM_001289905.1	protein_coding	0	2	1	5	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0
IL17RA	IL17RA	NM_014339.6	protein_coding	0	2	1	5	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0
IL17REL	IL17REL	NM_001001694.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IL2RB	IL2RB	NM_000878.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
INPP5J	INPP5J	NM_001002837.2	protein_coding	0	1	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0
INPP5J	INPP5J	NM_001284285.1	protein_coding	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
INPP5J	INPP5J	NM_001284286.1	protein_coding	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
INPP5J	INPP5J	NM_001284287.1	protein_coding	0	1	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0
INPP5J	INPP5J	NM_001284288.1	protein_coding	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
INPP5J	INPP5J	NM_001284289.1	protein_coding	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ISX	ISX	NM_001303508.1	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
KCNJ4	KCNJ4	NM_004981.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KCNJ4	KCNJ4	NM_152868.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KCTD17	KCTD17	NM_001282684.1	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
KCTD17	KCTD17	NM_001282685.1	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
KCTD17	KCTD17	NM_001282686.1	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
KCTD17	KCTD17	NM_024681.3	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
KDELR3	KDELR3	NM_006855.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KDELR3	KDELR3	NM_016657.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KIAA0930	KIAA0930	NM_001009880.1	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KIAA0930	KIAA0930	NM_015264.1	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KIAA1644	KIAA1644	NM_001099294.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KIAA1656	KIAA1656	NR_046312.1		0	0	0	5	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1
KIAA1671	KIAA1671	NM_001145206.1	protein_coding	0	6	1	3	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	6	0
KLHDC7B	KLHDC7B	NM_138433.3	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
KLHL22	KLHL22	NM_032775.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KLHL22	KLHL22	NR_033825.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
L3MBTL2	L3MBTL2	NM_031488.4	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
LARGE1	LARGE1	NM_004737.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LARGE1	LARGE1	NM_133642.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LGALS1	LGALS1	NM_002305.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LGALS2	LGALS2	NM_006498.2	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
LIMK2	LIMK2	NM_001031801.1	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
LIMK2	LIMK2	NM_005569.3	protein_coding	2	1	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	1	0
LIMK2	LIMK2	NM_016733.2	protein_coding	0	1	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0
LL22NC03-63E9.3	LL22NC03-63E9.3	NR_027426.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LMF2	LMF2	NM_033200.2	protein_coding	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0
LOC100506679	LOC100506679	NR_125362.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC100996342	LOC100996342	NR_103793.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927051	LOC101927051	NR_109952.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929372	LOC101929372	NM_001288707.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101929829	LOC101929829	NR_111920.1		0	0	0	6	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0
LOC105373021	LOC105373021	NR_134623.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373051	LOC105373051	NR_134632.1		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
LOC339666	LOC339666	NR_038918.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC400927-CSNK1E	LOC400927-CSNK1E	NM_001289912.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LRP5L	LRP5L	NM_001135772.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LRP5L	LRP5L	NM_182492.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LRRC74B	LRRC74B	NM_001291006.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LRRC74B	LRRC74B	NR_027006.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LRRC74B	LRRC74B	NR_110991.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LZTR1	LZTR1	NM_006767.3	protein_coding	0	0	0	5	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1
MAPK11	MAPK11	NM_002751.6	protein_coding	2	2	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0
MAPK11	MAPK11	NR_110887.1		0	0	0	4	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0
MAPK12	MAPK12	NM_001303252.1	protein_coding	0	2	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2
MAPK12	MAPK12	NM_002969.4	protein_coding	1	2	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	2
MAPK8IP2	MAPK8IP2	NM_012324.4	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
MB	MB	NM_005368.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MB	MB	NM_203377.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MB	MB	NM_203378.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MCAT	MCAT	NM_014507.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCAT	MCAT	NM_173467.4	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
MCAT	MCAT	NR_046423.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MCHR1	MCHR1	NM_005297.3	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
MED15	MED15	NM_001003891.2	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MED15	MED15	NM_001293234.1	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MED15	MED15	NM_001293235.1	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MED15	MED15	NM_001293236.1	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MED15	MED15	NM_001293237.1	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MED15	MED15	NM_015889.4	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MEI1	MEI1	NM_152513.3	protein_coding	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0
MICAL3	MICAL3	NM_015241.2	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
MICALL1	MICALL1	NM_033386.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIOX	MIOX	NM_017584.5	protein_coding	2	2	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0
MIR1249	MIR1249	NR_031651.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR130B	MIR130B	NR_029845.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
